,D,I1,I2,I3,q1,q2,q3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5
10,11,-19.775171,-29.178048,17,0.004333,-0.00013,-0.000113,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,/home/martin/data/v2/filtered/11_r_img_blc.ppm,/home/martin/data/v2/filtered/11_l_img_blc.ppm
11,12,-0.838949,1.906015,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,/home/martin/data/v2/filtered/12_r_img_blc.ppm,/home/martin/data/v2/filtered/12_l_img_blc.ppm
12,13,9.369389,-29.726664,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,/home/martin/data/v2/filtered/13_r_img_blc.ppm,/home/martin/data/v2/filtered/13_l_img_blc.ppm
13,15,-17.053007,-28.984292,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,/home/martin/data/v2/filtered/15_r_img_blc.ppm,/home/martin/data/v2/filtered/15_l_img_blc.ppm
14,16,6.585961,21.127726,17,0.004334,0.00013,0.000113,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,/home/martin/data/v2/filtered/16_r_img_blc.ppm,/home/martin/data/v2/filtered/16_l_img_blc.ppm
15,17,7.464878,-16.398065,17,0.004334,0.00013,0.000113,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,/home/martin/data/v2/filtered/17_r_img_blc.ppm,/home/martin/data/v2/filtered/17_l_img_blc.ppm
16,19,-4.904052,-19.4053,17,0.004334,0.00013,0.000113,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,/home/martin/data/v2/filtered/19_r_img_blc.ppm,/home/martin/data/v2/filtered/19_l_img_blc.ppm
17,20,-10.46737,24.697327,17,0.004334,0.00013,0.000113,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,/home/martin/data/v2/filtered/20_r_img_blc.ppm,/home/martin/data/v2/filtered/20_l_img_blc.ppm
18,21,5.769278,20.496601,17,0.004334,0.00013,0.000113,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,/home/martin/data/v2/filtered/21_r_img_blc.ppm,/home/martin/data/v2/filtered/21_l_img_blc.ppm
19,22,-19.929903,25.256844,17,0.004334,0.00013,0.000113,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,/home/martin/data/v2/filtered/22_r_img_blc.ppm,/home/martin/data/v2/filtered/22_l_img_blc.ppm
20,24,3.859858,28.816856,17,0.004334,0.00013,0.000113,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,/home/martin/data/v2/filtered/24_r_img_blc.ppm,/home/martin/data/v2/filtered/24_l_img_blc.ppm
21,25,8.173721,4.141937,17,0.004334,0.00013,0.000113,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,/home/martin/data/v2/filtered/25_r_img_blc.ppm,/home/martin/data/v2/filtered/25_l_img_blc.ppm
22,26,-12.428012,19.544738,17,0.004334,0.00013,0.000113,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,/home/martin/data/v2/filtered/26_r_img_blc.ppm,/home/martin/data/v2/filtered/26_l_img_blc.ppm
23,28,9.795301,24.879031,17,0.004334,0.00013,0.000113,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,/home/martin/data/v2/filtered/28_r_img_blc.ppm,/home/martin/data/v2/filtered/28_l_img_blc.ppm
24,29,-3.776247,19.95396,17,0.004334,0.00013,0.000113,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,/home/martin/data/v2/filtered/29_r_img_blc.ppm,/home/martin/data/v2/filtered/29_l_img_blc.ppm
25,30,-12.020567,27.879956,17,0.004334,0.00013,0.000113,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,/home/martin/data/v2/filtered/30_r_img_blc.ppm,/home/martin/data/v2/filtered/30_l_img_blc.ppm
26,31,-8.344995,5.432987,17,0.004334,0.00013,0.000113,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,/home/martin/data/v2/filtered/31_r_img_blc.ppm,/home/martin/data/v2/filtered/31_l_img_blc.ppm
27,32,-6.219402,9.523876,17,0.004334,0.00013,0.000113,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,/home/martin/data/v2/filtered/32_r_img_blc.ppm,/home/martin/data/v2/filtered/32_l_img_blc.ppm
28,33,1.85654,-11.254753,17,0.004334,0.00013,0.000113,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,/home/martin/data/v2/filtered/33_r_img_blc.ppm,/home/martin/data/v2/filtered/33_l_img_blc.ppm
29,34,-18.824323,29.255535,17,0.004334,0.00013,0.000113,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,/home/martin/data/v2/filtered/34_r_img_blc.ppm,/home/martin/data/v2/filtered/34_l_img_blc.ppm
30,36,5.038554,28.644149,17,0.004334,0.00013,0.000113,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,/home/martin/data/v2/filtered/36_r_img_blc.ppm,/home/martin/data/v2/filtered/36_l_img_blc.ppm
31,37,3.439958,11.348653,17,0.004334,0.00013,0.000113,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,/home/martin/data/v2/filtered/37_r_img_blc.ppm,/home/martin/data/v2/filtered/37_l_img_blc.ppm
32,38,-4.887383,28.87279,17,0.004334,0.00013,0.000113,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,/home/martin/data/v2/filtered/38_r_img_blc.ppm,/home/martin/data/v2/filtered/38_l_img_blc.ppm
33,40,2.389515,-4.925434,17,0.004334,0.00013,0.000113,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,/home/martin/data/v2/filtered/40_r_img_blc.ppm,/home/martin/data/v2/filtered/40_l_img_blc.ppm
34,41,5.815625,-27.264497,17,0.004334,0.00013,0.000113,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,/home/martin/data/v2/filtered/41_r_img_blc.ppm,/home/martin/data/v2/filtered/41_l_img_blc.ppm
35,42,-18.918818,3.646976,17,0.004334,0.00013,0.000113,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,/home/martin/data/v2/filtered/42_r_img_blc.ppm,/home/martin/data/v2/filtered/42_l_img_blc.ppm
36,43,-12.513324,-26.857656,17,0.004334,0.00013,0.000113,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,/home/martin/data/v2/filtered/43_r_img_blc.ppm,/home/martin/data/v2/filtered/43_l_img_blc.ppm
37,44,3.96106,13.301624,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,/home/martin/data/v2/filtered/44_r_img_blc.ppm,/home/martin/data/v2/filtered/44_l_img_blc.ppm
38,45,-0.869598,-16.642201,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,/home/martin/data/v2/filtered/45_r_img_blc.ppm,/home/martin/data/v2/filtered/45_l_img_blc.ppm
39,46,-19.323599,16.279569,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,/home/martin/data/v2/filtered/46_r_img_blc.ppm,/home/martin/data/v2/filtered/46_l_img_blc.ppm
40,47,-18.311173,-14.122928,17,0.004334,-0.00013,-0.000113,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,/home/martin/data/v2/filtered/47_r_img_blc.ppm,/home/martin/data/v2/filtered/47_l_img_blc.ppm
41,48,9.992396,17.458228,17,0.004334,-0.00013,-0.000113,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,/home/martin/data/v2/filtered/48_r_img_blc.ppm,/home/martin/data/v2/filtered/48_l_img_blc.ppm
42,49,9.472365,-20.813692,17,0.004334,-0.00013,-0.000113,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,/home/martin/data/v2/filtered/49_r_img_blc.ppm,/home/martin/data/v2/filtered/49_l_img_blc.ppm
43,51,8.179291,-22.807855,17,0.004334,-0.00013,-0.000113,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,/home/martin/data/v2/filtered/51_r_img_blc.ppm,/home/martin/data/v2/filtered/51_l_img_blc.ppm
44,52,0.031186,25.079293,17,0.004334,-0.00013,-0.000113,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,/home/martin/data/v2/filtered/52_r_img_blc.ppm,/home/martin/data/v2/filtered/52_l_img_blc.ppm
45,53,6.766978,-5.039556,17,0.004334,-0.00013,-0.000113,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,/home/martin/data/v2/filtered/53_r_img_blc.ppm,/home/martin/data/v2/filtered/53_l_img_blc.ppm
46,54,-11.229603,29.621989,17,0.004334,-0.00013,-0.000113,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,/home/martin/data/v2/filtered/54_r_img_blc.ppm,/home/martin/data/v2/filtered/54_l_img_blc.ppm
47,55,-7.254644,-6.314327,17,0.004334,-0.00013,-0.000113,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,/home/martin/data/v2/filtered/55_r_img_blc.ppm,/home/martin/data/v2/filtered/55_l_img_blc.ppm
48,56,7.985797,-3.850527,17,0.004334,-0.00013,-0.000113,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,/home/martin/data/v2/filtered/56_r_img_blc.ppm,/home/martin/data/v2/filtered/56_l_img_blc.ppm
49,57,1.632677,-22.180939,17,0.004334,-0.00013,-0.000113,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,/home/martin/data/v2/filtered/57_r_img_blc.ppm,/home/martin/data/v2/filtered/57_l_img_blc.ppm
50,58,-8.399274,-1.641872,17,0.004334,-0.00013,-0.000113,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,/home/martin/data/v2/filtered/58_r_img_blc.ppm,/home/martin/data/v2/filtered/58_l_img_blc.ppm
51,59,-16.891187,-19.280362,17,0.004334,-0.00013,-0.000113,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,/home/martin/data/v2/filtered/59_r_img_blc.ppm,/home/martin/data/v2/filtered/59_l_img_blc.ppm
52,60,0.97286,19.392239,17,0.004334,-0.00013,-0.000113,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,/home/martin/data/v2/filtered/60_r_img_blc.ppm,/home/martin/data/v2/filtered/60_l_img_blc.ppm
53,61,-2.630194,-7.505392,17,0.004334,-0.00013,-0.000113,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,/home/martin/data/v2/filtered/61_r_img_blc.ppm,/home/martin/data/v2/filtered/61_l_img_blc.ppm
54,62,-16.38556,25.704073,17,0.004334,-0.00013,-0.000113,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,/home/martin/data/v2/filtered/62_r_img_blc.ppm,/home/martin/data/v2/filtered/62_l_img_blc.ppm
55,63,-18.342265,-24.35814,17,0.004334,-0.00013,-0.000113,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,/home/martin/data/v2/filtered/63_r_img_blc.ppm,/home/martin/data/v2/filtered/63_l_img_blc.ppm
56,64,-0.652301,28.016178,17,0.004334,-0.00013,-0.000113,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,/home/martin/data/v2/filtered/64_r_img_blc.ppm,/home/martin/data/v2/filtered/64_l_img_blc.ppm
57,66,-5.730282,27.90017,17,0.004334,-0.00013,-0.000113,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,/home/martin/data/v2/filtered/66_r_img_blc.ppm,/home/martin/data/v2/filtered/66_l_img_blc.ppm
58,67,-11.977493,-5.045026,17,0.004334,-0.00013,-0.000113,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,/home/martin/data/v2/filtered/67_r_img_blc.ppm,/home/martin/data/v2/filtered/67_l_img_blc.ppm
59,68,5.853773,28.27751,17,0.004334,0.00013,0.000113,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,/home/martin/data/v2/filtered/68_r_img_blc.ppm,/home/martin/data/v2/filtered/68_l_img_blc.ppm
60,70,-18.720903,13.791675,17,0.004334,0.00013,0.000113,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,/home/martin/data/v2/filtered/70_r_img_blc.ppm,/home/martin/data/v2/filtered/70_l_img_blc.ppm
61,71,-12.347579,-17.852674,17,0.004334,0.00013,0.000113,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,/home/martin/data/v2/filtered/71_r_img_blc.ppm,/home/martin/data/v2/filtered/71_l_img_blc.ppm
62,72,-9.117286,27.72172,17,0.004334,-0.00013,-0.000113,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,/home/martin/data/v2/filtered/72_r_img_blc.ppm,/home/martin/data/v2/filtered/72_l_img_blc.ppm
63,73,2.298223,24.744358,17,0.004334,-0.00013,-0.000113,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,/home/martin/data/v2/filtered/73_r_img_blc.ppm,/home/martin/data/v2/filtered/73_l_img_blc.ppm
64,74,-15.775791,29.580316,17,0.004334,-0.00013,-0.000113,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,/home/martin/data/v2/filtered/74_r_img_blc.ppm,/home/martin/data/v2/filtered/74_l_img_blc.ppm
65,75,-15.685886,26.087703,17,0.004334,-0.00013,-0.000113,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,/home/martin/data/v2/filtered/75_r_img_blc.ppm,/home/martin/data/v2/filtered/75_l_img_blc.ppm
66,77,2.611619,-24.97302,17,0.004334,0.00013,0.000113,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,/home/martin/data/v2/filtered/77_r_img_blc.ppm,/home/martin/data/v2/filtered/77_l_img_blc.ppm
67,78,-9.065369,5.668114,17,0.004334,0.00013,0.000113,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,/home/martin/data/v2/filtered/78_r_img_blc.ppm,/home/martin/data/v2/filtered/78_l_img_blc.ppm
68,79,-1.859929,-20.656007,17,0.004334,0.00013,0.000113,-95,23.31947,72.524389,76.698916,-88.170997,-20.658756,-1.766431,-0.267317,-0.06934,0.346658,0.024249,0.043335,0.035852,/home/martin/data/v2/filtered/79_r_img_blc.ppm,/home/martin/data/v2/filtered/79_l_img_blc.ppm
69,80,5.59006,25.547453,17,0.004334,0.00013,0.000113,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,/home/martin/data/v2/filtered/80_r_img_blc.ppm,/home/martin/data/v2/filtered/80_l_img_blc.ppm
70,81,8.789078,6.852113,17,0.004334,0.00013,0.000113,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,/home/martin/data/v2/filtered/81_r_img_blc.ppm,/home/martin/data/v2/filtered/81_l_img_blc.ppm
71,82,-13.553273,18.788543,17,0.004334,0.00013,0.000113,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,/home/martin/data/v2/filtered/82_r_img_blc.ppm,/home/martin/data/v2/filtered/82_l_img_blc.ppm
72,83,-12.750552,0.480929,17,0.004334,0.00013,0.000113,-87.668055,24.745876,39.146492,66.296042,-1.087141,0,-0.848408,-0.27474,0.057956,0.333523,0.000003,0.000003,0.000004,/home/martin/data/v2/filtered/83_r_img_blc.ppm,/home/martin/data/v2/filtered/83_l_img_blc.ppm
73,84,7.158487,23.51258,18,0.004334,-0.00013,-0.000113,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,/home/martin/data/v2/filtered/84_r_img_blc.ppm,/home/martin/data/v2/filtered/84_l_img_blc.ppm
74,85,-0.979888,2.074966,18,0.004334,-0.00013,-0.000113,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,/home/martin/data/v2/filtered/85_r_img_blc.ppm,/home/martin/data/v2/filtered/85_l_img_blc.ppm
75,86,-6.748707,21.528167,18,0.004334,-0.00013,-0.000113,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,/home/martin/data/v2/filtered/86_r_img_blc.ppm,/home/martin/data/v2/filtered/86_l_img_blc.ppm
76,87,-12.706183,1.262072,18,0.004334,-0.00013,-0.000113,-77.468868,25.081181,31.300344,78.786032,-1.00906,-0.19397,-5.278736,-0.256796,0.062806,0.320775,0,0.000003,0.000003,/home/martin/data/v2/filtered/87_r_img_blc.ppm,/home/martin/data/v2/filtered/87_l_img_blc.ppm
77,88,7.655386,14.278537,18,0.004334,0.00013,0.000113,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,/home/martin/data/v2/filtered/88_r_img_blc.ppm,/home/martin/data/v2/filtered/88_l_img_blc.ppm
78,90,-16.501106,29.92094,18,0.004334,0.00013,0.000113,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,/home/martin/data/v2/filtered/90_r_img_blc.ppm,/home/martin/data/v2/filtered/90_l_img_blc.ppm
79,91,-14.986154,-2.590112,18,0.004334,0.00013,0.000113,-95,24.052104,55.380758,66.563787,-89.998487,-20.598536,-1.437786,-0.273845,0.025791,0.356629,0.007653,0.006594,0.010903,/home/martin/data/v2/filtered/91_r_img_blc.ppm,/home/martin/data/v2/filtered/91_l_img_blc.ppm
80,92,8.36501,17.275812,18,0.004334,-0.00013,-0.000113,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,/home/martin/data/v2/filtered/92_r_img_blc.ppm,/home/martin/data/v2/filtered/92_l_img_blc.ppm
81,93,8.865336,-7.475246,18,0.004334,-0.00013,-0.000113,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,/home/martin/data/v2/filtered/93_r_img_blc.ppm,/home/martin/data/v2/filtered/93_l_img_blc.ppm
82,94,-19.206268,10.7772,18,0.004334,-0.00013,-0.000113,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,/home/martin/data/v2/filtered/94_r_img_blc.ppm,/home/martin/data/v2/filtered/94_l_img_blc.ppm
83,95,-18.365681,-16.779551,18,0.004334,-0.00013,-0.000113,-95,23.696468,63.70264,70.448931,88.080592,-8.190669,1.919261,-0.27581,-0.0163,0.355096,0.017188,0.020603,0.024282,/home/martin/data/v2/filtered/95_r_img_blc.ppm,/home/martin/data/v2/filtered/95_l_img_blc.ppm
84,96,8.441173,27.991225,18,0.004334,0.00013,0.000113,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,/home/martin/data/v2/filtered/96_r_img_blc.ppm,/home/martin/data/v2/filtered/96_l_img_blc.ppm
85,97,9.534414,16.093372,18,0.004334,0.00013,0.000113,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,/home/martin/data/v2/filtered/97_r_img_blc.ppm,/home/martin/data/v2/filtered/97_l_img_blc.ppm
86,98,-18.773875,27.857978,18,0.004334,0.00013,0.000113,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,/home/martin/data/v2/filtered/98_r_img_blc.ppm,/home/martin/data/v2/filtered/98_l_img_blc.ppm
87,99,-13.287298,19.514692,18,0.004334,0.00013,0.000113,-86.064469,25.234074,27.722664,77.208713,1.073165,0,-3.748211,-0.238547,0.083209,0.358775,0.000007,0.00002,0.000033,/home/martin/data/v2/filtered/99_r_img_blc.ppm,/home/martin/data/v2/filtered/99_l_img_blc.ppm
88,101,5.105166,-26.496414,18,0.004334,0.00013,0.000113,-95,23.408669,70.437141,76.811534,-50.151082,-20.360974,2.668665,-0.261712,-0.056574,0.348033,0.019888,0.035049,0.03119,/home/martin/data/v2/filtered/101_r_img_blc.ppm,/home/martin/data/v2/filtered/101_l_img_blc.ppm
